seq,time,bid_price,bid_size,ask_price,ask_size
382,2025-09-13 12:34:55,115715.99,9.1447,115716.0,2.68981
383,2025-09-13 12:34:55,115715.99,9.1447,115716.0,2.68987
384,2025-09-13 12:34:55,115715.99,9.1447,115716.0,2.68946
385,2025-09-13 12:34:55,115715.99,9.1447,115716.0,2.6894
386,2025-09-13 12:34:55,115715.99,9.1447,115716.0,2.68935
387,2025-09-13 12:34:55,115715.99,9.1447,115716.0,2.68797
388,2025-09-13 12:34:55,115715.99,9.1447,115716.0,2.68792
389,2025-09-13 12:34:56,115715.99,9.1447,115716.0,2.68797
390,2025-09-13 12:34:56,115715.99,9.14465,115716.0,2.68797
391,2025-09-13 12:34:56,115715.99,9.1447,115716.0,2.68797
392,2025-09-13 12:34:56,115715.99,9.14935,115716.0,2.68797
393,2025-09-13 12:34:56,115715.99,9.14894,115716.0,2.68797
394,2025-09-13 12:34:56,115715.99,9.14889,115716.0,2.68797
395,2025-09-13 12:34:56,115715.99,9.14889,115716.0,2.68792
396,2025-09-13 12:34:56,115715.99,9.14894,115716.0,2.68792
397,2025-09-13 12:34:56,115715.99,9.14863,115716.0,2.68792
398,2025-09-13 12:34:56,115715.99,9.14896,115716.0,2.68792
399,2025-09-13 12:34:57,115715.99,9.14896,115716.0,2.68787
400,2025-09-13 12:34:57,115715.99,9.14891,115716.0,2.68787
401,2025-09-13 12:34:57,115715.99,9.14891,115716.0,2.68762
402,2025-09-13 12:34:57,115715.99,9.14886,115716.0,2.68762
403,2025-09-13 12:34:57,115715.99,9.14891,115716.0,2.68762
404,2025-09-13 12:34:57,115715.99,9.14891,115716.0,3.07012
405,2025-09-13 12:34:57,115715.99,9.14891,115716.0,3.06757
406,2025-09-13 12:34:57,115715.99,9.14891,115716.0,3.06752
407,2025-09-13 12:34:57,115715.99,9.14891,115716.0,3.06757
408,2025-09-13 12:34:57,115715.99,9.14876,115716.0,3.06757
409,2025-09-13 12:34:57,115715.99,9.14894,115716.0,3.06757
410,2025-09-13 12:34:57,115715.99,9.14638,115716.0,3.06757
411,2025-09-13 12:34:57,115715.99,9.14942,115716.0,3.06757
412,2025-09-13 12:34:58,115715.99,9.14937,115716.0,3.06757
413,2025-09-13 12:34:58,115715.99,9.14942,115716.0,3.06757
414,2025-09-13 12:34:58,115715.99,9.14942,115716.0,3.06657
415,2025-09-13 12:34:58,115715.99,9.14852,115716.0,3.06657
416,2025-09-13 12:34:58,115715.99,9.14852,115716.0,3.06652
417,2025-09-13 12:34:58,115715.99,9.14852,115716.0,3.11652
418,2025-09-13 12:34:58,115715.99,9.13988,115716.0,3.11652
419,2025-09-13 12:34:59,115715.99,9.13988,115716.0,3.11555
420,2025-09-13 12:34:59,115715.99,9.13983,115716.0,3.11555
421,2025-09-13 12:34:59,115715.99,9.13988,115716.0,3.11555
422,2025-09-13 12:34:59,115715.99,9.13988,115716.0,3.1069
423,2025-09-13 12:34:59,115715.99,9.13988,115716.0,3.10695
424,2025-09-13 12:34:59,115715.99,9.13988,115716.0,3.107
425,2025-09-13 12:34:59,115715.99,9.13978,115716.0,3.107
426,2025-09-13 12:34:59,115715.99,9.13978,115716.0,3.10695
427,2025-09-13 12:34:59,115715.99,9.13983,115716.0,3.10695
428,2025-09-13 12:34:59,115715.99,9.13983,115716.0,3.10521
429,2025-09-13 12:34:59,115715.99,9.13978,115716.0,3.10521
430,2025-09-13 12:34:59,115715.99,9.13983,115716.0,3.10521
431,2025-09-13 12:35:00,115715.99,9.13983,115716.0,3.10516
432,2025-09-13 12:35:00,115715.99,9.13983,115716.0,3.10521
433,2025-09-13 12:35:00,115715.99,9.13983,115716.0,3.10526
434,2025-09-13 12:35:00,115715.99,9.13978,115716.0,3.10526
435,2025-09-13 12:35:00,115715.99,9.13983,115716.0,3.10526
436,2025-09-13 12:35:00,115715.99,9.13983,115716.0,3.05526
437,2025-09-13 12:35:00,115715.99,9.1578,115716.0,3.05526
438,2025-09-13 12:35:00,115715.99,9.1575,115716.0,3.05526
439,2025-09-13 12:35:00,115715.99,9.1575,115716.0,3.05521
440,2025-09-13 12:35:00,115715.99,9.1575,115716.0,3.05515
441,2025-09-13 12:35:00,115715.99,9.15701,115716.0,3.05515
442,2025-09-13 12:35:00,115715.99,9.15706,115716.0,3.05515
443,2025-09-13 12:35:00,115715.99,9.15706,115716.0,2.67265
444,2025-09-13 12:35:01,115715.99,9.15706,115716.0,2.72182
445,2025-09-13 12:35:01,115715.99,9.15706,115716.0,3.10432
446,2025-09-13 12:35:02,115715.99,9.15706,115716.0,3.10438
447,2025-09-13 12:35:02,115715.99,9.15706,115716.0,3.10388
448,2025-09-13 12:35:02,115715.99,9.15701,115716.0,3.10388
449,2025-09-13 12:35:02,115715.99,9.15696,115716.0,3.10388
450,2025-09-13 12:35:02,115715.99,9.15701,115716.0,3.10388
451,2025-09-13 12:35:02,115715.99,9.15475,115716.0,3.10388
452,2025-09-13 12:35:02,115715.99,9.15475,115716.0,2.72138
453,2025-09-13 12:35:02,115715.99,9.13234,115716.0,2.72138
454,2025-09-13 12:35:02,115715.99,9.13152,115716.0,2.72138
455,2025-09-13 12:35:02,115715.99,9.13152,115716.0,2.7148
456,2025-09-13 12:35:02,115715.99,9.13082,115716.0,2.7148
457,2025-09-13 12:35:02,115715.99,9.13073,115716.0,2.7148
